run_id,timestamp,event,video_id,keyword,duration_s,batch_size,status,detail
20260707T100811_a53ac0,2026-07-07T10:08:11.275676+00:00,run_start,,,0.0,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:11.773070+00:00,keyword_search,,messi,0.483,1,ok,results=50
20260707T100811_a53ac0,2026-07-07T10:08:11.837688+00:00,video_stats_fetch,_R_WVxW8N3A,messi,0.0645,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:11.894972+00:00,channel_stats_fetch,_R_WVxW8N3A,messi,0.0572,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:11.895044+00:00,transcript_fetch,_R_WVxW8N3A,messi,0.0,1,skip,no_transcript
20260707T100811_a53ac0,2026-07-07T10:08:11.973234+00:00,thumbnail_download,_R_WVxW8N3A,messi,0.0782,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.036135+00:00,video_stats_fetch,EsZcf4Qn9oM,messi,0.0628,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.091107+00:00,channel_stats_fetch,EsZcf4Qn9oM,messi,0.0549,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.091169+00:00,transcript_fetch,EsZcf4Qn9oM,messi,0.0,1,skip,no_transcript
20260707T100811_a53ac0,2026-07-07T10:08:12.174449+00:00,thumbnail_download,EsZcf4Qn9oM,messi,0.0833,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.225917+00:00,video_stats_fetch,3crHpC7zD38,messi,0.0514,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.274353+00:00,channel_stats_fetch,3crHpC7zD38,messi,0.0483,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.274393+00:00,transcript_fetch,3crHpC7zD38,messi,0.0,1,skip,no_transcript
20260707T100811_a53ac0,2026-07-07T10:08:12.351186+00:00,thumbnail_download,3crHpC7zD38,messi,0.0768,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.405711+00:00,video_stats_fetch,yv7GbosCV7I,messi,0.0544,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.463892+00:00,channel_stats_fetch,yv7GbosCV7I,messi,0.0581,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.464004+00:00,transcript_fetch,yv7GbosCV7I,messi,0.0,1,skip,no_transcript
20260707T100811_a53ac0,2026-07-07T10:08:12.534402+00:00,thumbnail_download,yv7GbosCV7I,messi,0.0703,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.581757+00:00,video_stats_fetch,HgZCOkHVlFk,messi,0.0472,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.654648+00:00,channel_stats_fetch,HgZCOkHVlFk,messi,0.0728,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:12.654769+00:00,transcript_fetch,HgZCOkHVlFk,messi,0.0,1,skip,no_transcript
20260707T100811_a53ac0,2026-07-07T10:08:12.728400+00:00,thumbnail_download,HgZCOkHVlFk,messi,0.0736,1,ok,
20260707T100811_a53ac0,2026-07-07T10:08:28.718188+00:00,llm_batch_call,,messi,15.9894,5,ok,
20260707T100811_a53ac0,2026-07-07T10:08:28.718630+00:00,csv_write,_R_WVxW8N3A,messi,0.0,1,ok,video_row
20260707T100811_a53ac0,2026-07-07T10:08:28.871590+00:00,comment_page_fetch,_R_WVxW8N3A,messi,0.1529,100,ok,page=1
20260707T100811_a53ac0,2026-07-07T10:08:28.873431+00:00,csv_write,_R_WVxW8N3A,messi,0.0013,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:29.068423+00:00,comment_page_fetch,_R_WVxW8N3A,messi,0.1949,100,ok,page=2
20260707T100811_a53ac0,2026-07-07T10:08:29.070212+00:00,csv_write,_R_WVxW8N3A,messi,0.0013,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:29.226973+00:00,comment_page_fetch,_R_WVxW8N3A,messi,0.1567,100,ok,page=3
20260707T100811_a53ac0,2026-07-07T10:08:29.228693+00:00,csv_write,_R_WVxW8N3A,messi,0.0013,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:29.230091+00:00,csv_write,3crHpC7zD38,messi,0.0001,1,ok,video_row
20260707T100811_a53ac0,2026-07-07T10:08:29.463683+00:00,comment_page_fetch,3crHpC7zD38,messi,0.2334,100,ok,page=1
20260707T100811_a53ac0,2026-07-07T10:08:29.464110+00:00,csv_write,3crHpC7zD38,messi,0.0003,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:29.677837+00:00,comment_page_fetch,3crHpC7zD38,messi,0.2137,100,ok,page=2
20260707T100811_a53ac0,2026-07-07T10:08:29.679858+00:00,csv_write,3crHpC7zD38,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:29.893907+00:00,comment_page_fetch,3crHpC7zD38,messi,0.214,100,ok,page=3
20260707T100811_a53ac0,2026-07-07T10:08:29.895881+00:00,csv_write,3crHpC7zD38,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:30.166155+00:00,comment_page_fetch,3crHpC7zD38,messi,0.2702,100,ok,page=4
20260707T100811_a53ac0,2026-07-07T10:08:30.167101+00:00,csv_write,3crHpC7zD38,messi,0.0007,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:30.315316+00:00,comment_page_fetch,3crHpC7zD38,messi,0.1482,100,ok,page=5
20260707T100811_a53ac0,2026-07-07T10:08:30.317348+00:00,csv_write,3crHpC7zD38,messi,0.0016,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:30.503351+00:00,comment_page_fetch,3crHpC7zD38,messi,0.1859,100,ok,page=6
20260707T100811_a53ac0,2026-07-07T10:08:30.505381+00:00,csv_write,3crHpC7zD38,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:30.658367+00:00,comment_page_fetch,3crHpC7zD38,messi,0.1529,100,ok,page=7
20260707T100811_a53ac0,2026-07-07T10:08:30.660298+00:00,csv_write,3crHpC7zD38,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:30.905988+00:00,comment_page_fetch,3crHpC7zD38,messi,0.2456,100,ok,page=8
20260707T100811_a53ac0,2026-07-07T10:08:30.908016+00:00,csv_write,3crHpC7zD38,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:31.022215+00:00,comment_page_fetch,3crHpC7zD38,messi,0.1141,23,ok,page=9
20260707T100811_a53ac0,2026-07-07T10:08:31.023046+00:00,csv_write,3crHpC7zD38,messi,0.0005,23,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:31.025188+00:00,csv_write,yv7GbosCV7I,messi,0.0002,1,ok,video_row
20260707T100811_a53ac0,2026-07-07T10:08:31.275781+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.2501,100,ok,page=1
20260707T100811_a53ac0,2026-07-07T10:08:31.277585+00:00,csv_write,yv7GbosCV7I,messi,0.0013,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:31.458170+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1805,100,ok,page=2
20260707T100811_a53ac0,2026-07-07T10:08:31.460401+00:00,csv_write,yv7GbosCV7I,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:31.624306+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1638,100,ok,page=3
20260707T100811_a53ac0,2026-07-07T10:08:31.625672+00:00,csv_write,yv7GbosCV7I,messi,0.001,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:31.892467+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.2667,100,ok,page=4
20260707T100811_a53ac0,2026-07-07T10:08:31.894292+00:00,csv_write,yv7GbosCV7I,messi,0.0014,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.089231+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1949,100,ok,page=5
20260707T100811_a53ac0,2026-07-07T10:08:32.091051+00:00,csv_write,yv7GbosCV7I,messi,0.0014,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.229326+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1382,100,ok,page=6
20260707T100811_a53ac0,2026-07-07T10:08:32.231303+00:00,csv_write,yv7GbosCV7I,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.395829+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1644,100,ok,page=7
20260707T100811_a53ac0,2026-07-07T10:08:32.396204+00:00,csv_write,yv7GbosCV7I,messi,0.0003,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.544515+00:00,comment_page_fetch,yv7GbosCV7I,messi,0.1483,32,ok,page=8
20260707T100811_a53ac0,2026-07-07T10:08:32.545230+00:00,csv_write,yv7GbosCV7I,messi,0.0005,32,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.546195+00:00,csv_write,HgZCOkHVlFk,messi,0.0001,1,ok,video_row
20260707T100811_a53ac0,2026-07-07T10:08:32.759933+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.2134,100,ok,page=1
20260707T100811_a53ac0,2026-07-07T10:08:32.761955+00:00,csv_write,HgZCOkHVlFk,messi,0.0016,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:32.968157+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.2061,100,ok,page=2
20260707T100811_a53ac0,2026-07-07T10:08:32.970348+00:00,csv_write,HgZCOkHVlFk,messi,0.0017,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:33.170868+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.2004,100,ok,page=3
20260707T100811_a53ac0,2026-07-07T10:08:33.172835+00:00,csv_write,HgZCOkHVlFk,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:33.402557+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.2297,100,ok,page=4
20260707T100811_a53ac0,2026-07-07T10:08:33.404512+00:00,csv_write,HgZCOkHVlFk,messi,0.0015,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:33.715239+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.3107,100,ok,page=5
20260707T100811_a53ac0,2026-07-07T10:08:33.715662+00:00,csv_write,HgZCOkHVlFk,messi,0.0003,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:33.880029+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.1643,100,ok,page=6
20260707T100811_a53ac0,2026-07-07T10:08:33.881159+00:00,csv_write,HgZCOkHVlFk,messi,0.0008,100,ok,comment_rows
20260707T100811_a53ac0,2026-07-07T10:08:34.071734+00:00,comment_page_fetch,HgZCOkHVlFk,messi,0.1905,100,ok,page=7
20260707T100811_a53ac0,2026-07-07T10:08:34.073695+00:00,csv_write,HgZCOkHVlFk,messi,0.0015,100,ok,comment_rows
